case_id,domain,complaint_text,duration,expected_priority,acceptable_priorities,accepted_specialties,expected_orientation,clinical_rationale
B06-001,Neurologie,"Depuis 35 minutes, faiblesse du bras droit et difficulté soudaine à parler.",Moins de 24 heures,P1,P1,Neurologie|Médecine d’urgence,Urgences / évaluation immédiate,Déficit neurologique focal brutal compatible avec une urgence temps-dépendante.
B06-002,Neurologie,"Depuis ce matin, vertiges importants et démarche instable, sans faiblesse d'un côté ni trouble de parole.",1 à 3 jours,P2,P2,Neurologie,Consultation médicale prioritaire,Symptômes neurologiques aigus sans signe focal majeur rapporté.
B06-003,Neurologie,"Fourmillements intermittents de la main la nuit depuis trois mois, sans faiblesse.",Plus d'une semaine,P3,P3,Neurologie,Consultation non urgente / programmée,Symptômes chroniques stables nécessitant évaluation programmée.
B06-004,Cardiologie,Douleur oppressante au centre de la poitrine depuis 25 minutes avec sueurs et nausées.,Moins de 24 heures,P1,P1,Cardiologie|Médecine d’urgence,Urgences / évaluation immédiate,Douleur thoracique prolongée avec signes neurovégétatifs.
B06-005,Cardiologie,Palpitations persistantes depuis deux heures avec étourdissement mais sans douleur thoracique ni syncope.,1 à 3 jours,P2,P2,Cardiologie,Consultation médicale prioritaire,Trouble du rythme symptomatique sans instabilité décrite.
B06-006,Cardiologie,"Palpitations brèves de quelques secondes plusieurs fois par semaine depuis deux mois, sans malaise.",Plus d'une semaine,P3,P3,Cardiologie,Consultation non urgente / programmée,Palpitations chroniques sans signe de gravité.
B06-007,Pneumologie,"Essoufflement au repos, je dois m'arrêter après quelques mots pour reprendre mon souffle.",Moins de 24 heures,P1,P1,Pneumologie|Médecine d’urgence,Urgences / évaluation immédiate,Détresse respiratoire probable.
B06-008,Pneumologie,"Toux, fièvre et essoufflement uniquement à la marche depuis trois jours, respiration normale au repos.",1 à 3 jours,P2,P2,Pneumologie,Consultation médicale prioritaire,Atteinte respiratoire significative sans détresse au repos.
B06-009,Pneumologie,"Toux sèche après un rhume depuis dix jours, nettement en amélioration.",1 à 3 jours,P4,P3|P4,Pneumologie,Conseils / autosurveillance,"Symptôme résiduel en amélioration, sans red flag."
B06-010,Gastro-entérologie,douleur abdominale récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gastro-entérologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-011,Gastro-entérologie,"douleur abdominale persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gastro-entérologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-012,Gastro-entérologie,"douleur abdominale léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gastro-entérologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-013,Hépatologie,ictère récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Hépatologie|Gastro-entérologie|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-014,Hépatologie,"ictère persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Hépatologie|Gastro-entérologie|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-015,Hépatologie,"ictère léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Hépatologie|Gastro-entérologie|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-016,Néphrologie,Presque plus d'urines depuis hier avec essoufflement au repos et jambes gonflées.,Moins de 24 heures,P1,P1,Néphrologie|Médecine d’urgence,Urgences / évaluation immédiate,Oligo-anurie avec surcharge et détresse respiratoire.
B06-017,Néphrologie,"Urines nettement diminuées avec œdèmes des chevilles, sans essoufflement.",1 à 3 jours,P2,P2,Néphrologie,Consultation médicale prioritaire,Atteinte rénale significative nécessitant évaluation rapide.
B06-018,Néphrologie,"Protéines découvertes sur analyse d'urine, aucun symptôme actuel.",Plus d'une semaine,P3,P3,Néphrologie,Consultation non urgente / programmée,Anomalie biologique nécessitant bilan programmé.
B06-019,Urologie,Impossible d'uriner depuis 12 heures avec bas ventre très douloureux et tendu.,Moins de 24 heures,P1,P1|P2,Urologie|Médecine d’urgence,Urgences / évaluation immédiate,"Rétention urinaire aiguë douloureuse, urgence d'évaluation."
B06-020,Urologie,Fièvre avec douleur du flanc et brûlures urinaires.,1 à 3 jours,P2,P2,Urologie,Consultation médicale prioritaire,Infection urinaire haute possible.
B06-021,Urologie,"Jet urinaire plus faible depuis plusieurs mois avec levers nocturnes, sans douleur ni fièvre.",Plus d'une semaine,P3,P3,Urologie,Consultation non urgente / programmée,Symptômes urinaires chroniques stables.
B06-022,Endocrinologie,symptômes endocriniens récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Endocrinologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
